               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084668,           0.0069282,            0.042086,           0.0023292,             0.31059,            0.017051,           0.0045705,              0.0716,           0.0041721,            0.034829,            0.070036,           0.0033294,           0.0033294
                   1,             0.06607,           0.0073691,            0.028096,              0.3753,             0.10018,            0.079641,            0.023342,            0.063778,           0.0039724,            0.020761,             0.03997,           0.0065967,           0.0065967
                   2,            0.061745,           0.0067435,            0.021417,             0.40397,             0.16138,             0.12793,            0.046081,            0.060774,           0.0038573,              0.0192,           0.0098378,           0.0097981,           0.0097981
                   3,            0.058448,           0.0064778,            0.019337,             0.33615,             0.24313,             0.18585,            0.069093,            0.057132,           0.0037387,            0.016932,            0.009703,            0.009703,            0.009703
                   4,            0.055312,           0.0062251,            0.017282,             0.36722,              0.2874,             0.23305,            0.090638,            0.054601,           0.0035673,            0.014424,            0.009703,            0.009703,            0.009703
                   5,            0.053024,            0.006114,            0.015602,             0.36324,             0.31181,                0.26,             0.10357,            0.052894,           0.0035488,            0.014192,            0.009604,            0.009604,            0.009604
                   6,            0.051653,           0.0060017,            0.014584,             0.39689,              0.3266,             0.27735,             0.10846,            0.052467,           0.0034371,            0.013689,            0.009505,            0.009505,            0.009505
                   7,            0.050263,            0.005972,             0.01332,             0.39852,             0.34747,             0.29478,             0.12012,            0.051025,           0.0034232,            0.013077,            0.009406,            0.009406,            0.009406
                   8,            0.049415,           0.0059015,            0.012677,             0.40798,             0.34988,             0.30864,             0.12712,            0.050813,           0.0034011,            0.013012,            0.009307,            0.009307,            0.009307
                   9,            0.048564,           0.0059078,            0.011883,             0.43484,             0.36131,             0.33359,             0.14112,            0.049986,           0.0033663,            0.012816,            0.009208,            0.009208,            0.009208
                  10,            0.050803,           0.0057407,            0.014787,             0.44066,             0.38395,             0.35334,             0.15114,            0.049014,           0.0033244,            0.011721,            0.009109,            0.009109,            0.009109
                  11,            0.049891,           0.0057106,            0.013961,             0.43849,              0.4049,             0.36717,             0.15671,            0.048109,           0.0033078,            0.010995,             0.00901,             0.00901,             0.00901
                  12,            0.049118,            0.005699,            0.013713,             0.47237,              0.4169,             0.38888,             0.16931,            0.047327,           0.0032582,            0.010868,            0.008911,            0.008911,            0.008911
                  13,            0.048759,           0.0056039,            0.013353,             0.49332,             0.41737,             0.41168,              0.1841,            0.046941,           0.0032177,            0.010689,            0.008812,            0.008812,            0.008812
                  14,            0.048484,           0.0055893,            0.013425,             0.50513,             0.43674,             0.43062,             0.19253,            0.046456,           0.0031933,            0.010249,            0.008713,            0.008713,            0.008713
                  15,             0.04794,           0.0056383,            0.012843,              0.5001,             0.44598,             0.43599,             0.19369,               0.046,           0.0031646,           0.0099148,            0.008614,            0.008614,            0.008614
