               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10037,            0.051935,            0.043787,           0.0032887,             0.27504,            0.010812,           0.0025802,            0.084422,            0.036352,            0.032267,             0.07006,           0.0033267,           0.0033267
                   1,            0.080273,            0.055807,            0.026823,             0.54863,             0.14624,            0.076215,            0.029104,            0.077014,            0.032081,            0.016885,            0.039994,           0.0065941,           0.0065941
                   2,            0.074898,            0.051091,            0.018995,             0.61869,             0.20266,             0.16059,             0.05648,            0.065912,            0.030446,            0.011729,           0.0098619,           0.0097955,           0.0097955
                   3,            0.068246,            0.049964,            0.016115,             0.66818,             0.26862,             0.20821,            0.077104,            0.058512,            0.030284,            0.010169,            0.009703,            0.009703,            0.009703
                   4,            0.061896,            0.049642,            0.014502,             0.70625,             0.25803,              0.2504,            0.099884,            0.055241,            0.030218,            0.010229,            0.009703,            0.009703,            0.009703
                   5,            0.059266,            0.049545,            0.014157,             0.63286,             0.24787,             0.21486,            0.085244,            0.051403,            0.031229,           0.0098214,            0.009604,            0.009604,            0.009604
                   6,             0.05813,            0.047476,             0.01301,              0.7189,             0.27556,             0.28372,             0.11515,            0.051601,            0.031152,           0.0094493,            0.009505,            0.009505,            0.009505
                   7,            0.055904,            0.048905,            0.011985,             0.70918,             0.29349,             0.29311,             0.12518,            0.048507,             0.03029,           0.0094065,            0.009406,            0.009406,            0.009406
                   8,            0.054633,             0.04814,            0.011648,             0.73837,             0.32588,             0.31046,             0.13236,            0.048116,            0.030291,           0.0085897,            0.009307,            0.009307,            0.009307
                   9,            0.053166,            0.048924,            0.011396,             0.73655,             0.31787,             0.33235,             0.14792,            0.048144,            0.029561,           0.0080921,            0.009208,            0.009208,            0.009208
                  10,            0.052443,            0.047805,            0.011296,             0.70171,             0.25262,             0.26765,             0.11291,            0.053756,            0.031585,            0.009258,            0.009109,            0.009109,            0.009109
                  11,            0.051108,            0.047611,            0.010747,             0.72625,             0.32761,             0.32345,             0.14861,            0.047399,             0.02974,            0.008442,             0.00901,             0.00901,             0.00901
