               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097235,            0.015566,            0.046874,          0.00082035,            0.041794,          0.00043775,          8.1776e-05,            0.092351,           0.0098614,            0.044354,             0.07006,           0.0033267,           0.0033267
                   1,            0.091454,            0.016416,            0.042193,           0.0016486,             0.11885,           0.0012863,          0.00035816,            0.087515,            0.010043,            0.039158,            0.039994,           0.0065941,           0.0065941
                   2,            0.085216,            0.017575,            0.037522,           0.0014706,             0.12656,           0.0019282,          0.00042894,            0.080848,            0.010827,            0.031748,           0.0098619,           0.0097955,           0.0097955
                   3,            0.076701,            0.019041,            0.030232,           0.0042103,             0.28059,           0.0092197,            0.002178,             0.07365,            0.011822,            0.021039,            0.009703,            0.009703,            0.009703
                   4,             0.07093,            0.019391,            0.023964,            0.041775,              0.2686,            0.047589,            0.014018,            0.068513,            0.011728,            0.017395,            0.009703,            0.009703,            0.009703
                   5,            0.067311,            0.019471,            0.020172,             0.15496,             0.17588,             0.06381,            0.020692,            0.064625,            0.011772,            0.013091,            0.009604,            0.009604,            0.009604
                   6,            0.064592,            0.018724,            0.017979,             0.14793,            0.093661,            0.068375,            0.020607,            0.064552,             0.01161,            0.011738,            0.009505,            0.009505,            0.009505
                   7,            0.062739,            0.019144,            0.016353,              0.3122,             0.16683,             0.06007,            0.016774,            0.061218,            0.011538,            0.010293,            0.009406,            0.009406,            0.009406
                   8,            0.061328,            0.019079,            0.014894,             0.32561,             0.19579,            0.084109,            0.026534,             0.05809,            0.011576,             0.01052,            0.009307,            0.009307,            0.009307
                   9,            0.058258,            0.019182,             0.01462,             0.57805,             0.19957,             0.14757,            0.053561,            0.056379,            0.011417,           0.0094467,            0.009208,            0.009208,            0.009208
                  10,            0.057073,            0.018934,            0.013661,             0.55168,             0.19311,             0.13586,            0.045073,            0.053255,            0.011387,           0.0095562,            0.009109,            0.009109,            0.009109
                  11,            0.055624,             0.01871,              0.0129,             0.55354,              0.2045,             0.12091,             0.04027,            0.058207,             0.01125,           0.0088058,             0.00901,             0.00901,             0.00901
                  12,            0.055026,            0.018434,            0.012821,              0.5467,             0.22525,             0.13202,            0.042586,            0.052161,            0.011718,           0.0081466,            0.008911,            0.008911,            0.008911
                  13,             0.05346,            0.018518,            0.012338,             0.59866,             0.21681,             0.17575,            0.058924,            0.054005,            0.011353,           0.0077285,            0.008812,            0.008812,            0.008812
                  14,            0.052729,            0.018161,            0.012204,             0.60713,             0.23533,             0.18737,            0.064557,            0.050084,            0.011182,           0.0076758,            0.008713,            0.008713,            0.008713
                  15,            0.052548,            0.018292,            0.011813,             0.61452,             0.23177,             0.18763,            0.070593,            0.051351,            0.011351,           0.0076501,            0.008614,            0.008614,            0.008614
                  16,            0.051769,            0.018294,            0.011286,             0.63159,             0.25545,             0.20788,            0.080468,            0.047805,            0.011162,           0.0073663,            0.008515,            0.008515,            0.008515
                  17,            0.050683,            0.018179,            0.011366,             0.61153,             0.24517,             0.21083,            0.072689,            0.048933,            0.011268,           0.0091615,            0.008416,            0.008416,            0.008416
                  18,            0.049703,            0.018717,            0.011206,             0.67007,             0.27364,             0.23705,            0.087551,            0.046611,            0.011098,           0.0072514,            0.008317,            0.008317,            0.008317
                  19,            0.048907,             0.01767,            0.010867,              0.6649,             0.27482,             0.22146,            0.077323,             0.04749,            0.011064,           0.0073748,            0.008218,            0.008218,            0.008218
                  20,            0.048716,            0.017861,            0.010481,             0.64614,             0.27653,             0.23049,            0.083631,            0.045628,            0.011109,           0.0074702,            0.008119,            0.008119,            0.008119
                  21,            0.047399,            0.017812,           0.0098877,               0.662,              0.2495,             0.23357,            0.087231,            0.046135,            0.010851,            0.007515,             0.00802,             0.00802,             0.00802
                  22,            0.047485,            0.018166,            0.010856,             0.68348,             0.26157,             0.23474,            0.094611,            0.045433,            0.011002,           0.0074716,            0.007921,            0.007921,            0.007921
                  23,            0.047134,            0.017645,           0.0098592,             0.68481,             0.26505,             0.25106,            0.096432,            0.045521,            0.010842,           0.0074292,            0.007822,            0.007822,            0.007822
                  24,            0.046067,            0.018014,            0.010229,             0.64649,             0.26083,             0.23251,            0.092625,            0.047378,            0.010708,           0.0070245,            0.007723,            0.007723,            0.007723
                  25,            0.046634,            0.017991,            0.010164,             0.70282,              0.2681,             0.26254,              0.1087,            0.043411,            0.010853,           0.0069261,            0.007624,            0.007624,            0.007624
                  26,            0.045768,              0.0173,           0.0096591,             0.70274,             0.26305,              0.2565,             0.10505,            0.043812,             0.01064,           0.0068046,            0.007525,            0.007525,            0.007525
                  27,             0.04451,            0.017503,           0.0089621,             0.71972,             0.27031,             0.26982,             0.10844,            0.044728,            0.010436,           0.0072094,            0.007426,            0.007426,            0.007426
                  28,            0.044641,            0.017729,           0.0096651,             0.71407,             0.28174,             0.27455,             0.11599,            0.042667,            0.010503,           0.0065752,            0.007327,            0.007327,            0.007327
                  29,            0.044841,            0.017278,           0.0090505,              0.7364,             0.27977,              0.2839,             0.11374,            0.043359,            0.010592,           0.0073011,            0.007228,            0.007228,            0.007228
                  30,            0.044084,            0.017859,           0.0090256,             0.74385,             0.29516,             0.29255,             0.12526,            0.042931,            0.010258,           0.0067329,            0.007129,            0.007129,            0.007129
