               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096872,            0.015286,            0.046811,          0.00051094,            0.025027,          0.00026849,          6.0149e-05,            0.093468,           0.0099051,            0.043896,            0.070058,           0.0033269,           0.0033269
                   1,            0.091119,             0.01581,            0.041731,           0.0013524,              0.1204,           0.0013991,           0.0003439,            0.087767,            0.010144,            0.038702,            0.039992,           0.0065943,           0.0065943
                   2,            0.084459,            0.017025,            0.036161,           0.0020132,             0.16979,           0.0042307,           0.0010108,            0.079939,            0.010955,             0.02932,           0.0098599,           0.0097957,           0.0097957
                   3,            0.075885,            0.018682,            0.028805,            0.009432,             0.26123,             0.02551,           0.0090515,            0.072338,            0.011733,            0.019859,            0.009703,            0.009703,            0.009703
                   4,            0.070592,            0.018789,            0.022392,            0.017429,              0.3406,            0.040807,            0.010487,            0.068918,            0.012015,             0.01457,            0.009703,            0.009703,            0.009703
                   5,            0.066599,            0.018548,            0.018659,             0.25489,             0.12708,             0.10689,            0.032769,            0.062592,            0.011989,            0.011767,            0.009604,            0.009604,            0.009604
                   6,            0.063725,            0.017997,            0.016547,             0.24436,             0.14481,            0.079321,            0.025424,            0.062599,            0.011726,            0.010336,            0.009505,            0.009505,            0.009505
                   7,            0.062047,            0.018291,            0.014755,            0.084877,             0.13443,            0.079372,            0.024009,            0.059491,            0.011569,            0.009481,            0.009406,            0.009406,            0.009406
                   8,            0.060121,            0.018558,            0.014165,             0.50801,             0.20946,              0.1043,            0.032384,             0.05759,            0.011354,           0.0093147,            0.009307,            0.009307,            0.009307
                   9,            0.057583,            0.018559,             0.01393,             0.33127,             0.18794,            0.098459,            0.032623,            0.056144,            0.011251,            0.010328,            0.009208,            0.009208,            0.009208
                  10,            0.056478,            0.017992,             0.01351,             0.13024,             0.19135,             0.12459,            0.041047,            0.054426,            0.011618,           0.0084186,            0.009109,            0.009109,            0.009109
                  11,            0.055291,            0.018337,            0.012307,             0.55486,             0.22751,             0.13312,            0.045339,            0.053473,            0.011303,           0.0082262,             0.00901,             0.00901,             0.00901
                  12,            0.055035,            0.017415,             0.01183,             0.55711,             0.20969,             0.14185,            0.052723,            0.052102,            0.011298,           0.0086801,            0.008911,            0.008911,            0.008911
                  13,            0.053074,            0.017639,            0.011905,             0.60451,             0.24136,             0.18232,              0.0625,            0.053335,            0.010989,           0.0085662,            0.008812,            0.008812,            0.008812
                  14,            0.052695,            0.018173,            0.011392,             0.58578,             0.21837,             0.15716,            0.058285,            0.049184,            0.011168,           0.0081314,            0.008713,            0.008713,            0.008713
                  15,            0.051045,            0.017274,            0.010721,             0.59952,             0.25923,             0.19267,            0.071201,            0.049581,            0.011038,           0.0075168,            0.008614,            0.008614,            0.008614
                  16,            0.050937,            0.017512,            0.010814,             0.62933,             0.27819,             0.22569,            0.084682,            0.048724,            0.010973,           0.0074032,            0.008515,            0.008515,            0.008515
                  17,            0.050151,            0.017054,            0.010413,              0.6166,             0.28013,             0.20671,             0.07901,            0.048251,            0.011043,           0.0074178,            0.008416,            0.008416,            0.008416
                  18,            0.049105,            0.017497,            0.010329,             0.65224,             0.24192,             0.23338,            0.088497,            0.046898,            0.011191,           0.0076724,            0.008317,            0.008317,            0.008317
                  19,            0.048206,            0.017492,            0.010351,             0.69884,             0.28152,             0.25602,            0.098868,            0.046747,            0.010915,           0.0073945,            0.008218,            0.008218,            0.008218
                  20,            0.048667,            0.016844,            0.010046,             0.66619,             0.27878,              0.2555,             0.10165,            0.048199,            0.011025,           0.0076119,            0.008119,            0.008119,            0.008119
                  21,            0.046847,            0.017134,           0.0097442,             0.65678,             0.28759,             0.25619,             0.10181,             0.04619,             0.01089,           0.0071365,             0.00802,             0.00802,             0.00802
                  22,            0.047123,            0.017067,           0.0098566,             0.70899,             0.27409,             0.24882,            0.098693,            0.046054,            0.010623,           0.0074361,            0.007921,            0.007921,            0.007921
                  23,            0.046202,            0.017007,           0.0091207,              0.7193,             0.29186,             0.28269,             0.11791,            0.043932,            0.010677,           0.0070514,            0.007822,            0.007822,            0.007822
                  24,            0.046544,            0.017145,            0.009706,             0.68166,              0.2951,             0.25991,             0.10219,            0.044085,            0.010677,           0.0075482,            0.007723,            0.007723,            0.007723
                  25,            0.044971,             0.01684,           0.0096382,             0.70436,             0.27842,             0.27393,             0.10852,            0.043361,            0.010813,            0.007381,            0.007624,            0.007624,            0.007624
                  26,            0.045068,            0.017063,           0.0095036,             0.69043,             0.29784,             0.27674,             0.11199,            0.043961,            0.010712,           0.0069895,            0.007525,            0.007525,            0.007525
                  27,            0.044547,            0.017119,           0.0091069,             0.72535,             0.29113,             0.28842,             0.11818,            0.042371,            0.010878,           0.0067232,            0.007426,            0.007426,            0.007426
                  28,            0.044683,            0.016813,            0.008815,             0.70668,             0.31181,             0.29479,             0.12601,            0.042412,            0.010679,           0.0071132,            0.007327,            0.007327,            0.007327
                  29,            0.043786,            0.017038,            0.008745,             0.71679,             0.31053,              0.3117,             0.13366,            0.041694,             0.01082,           0.0068931,            0.007228,            0.007228,            0.007228
