               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066631,             0.04564,            0.031851,             0.71228,             0.37387,             0.42214,             0.23998,            0.047194,            0.026619,            0.019066,            0.070015,           0.0033316,           0.0033316
                   1,            0.054423,            0.040926,            0.019116,             0.68848,             0.46151,             0.51693,             0.30317,             0.04405,            0.026262,            0.015682,            0.039949,            0.006599,            0.006599
                   2,            0.052048,            0.041305,            0.017514,              0.6929,             0.45543,             0.51436,             0.30385,            0.044239,            0.026815,            0.015215,           0.0098172,           0.0098003,           0.0098003
                   3,            0.050148,            0.041497,            0.016766,             0.73135,             0.47007,             0.54087,             0.32689,            0.042541,            0.026179,            0.014221,            0.009703,            0.009703,            0.009703
                   4,            0.048147,            0.040176,            0.015485,             0.75814,             0.48261,             0.55622,             0.34081,            0.041847,            0.025618,            0.013369,            0.009703,            0.009703,            0.009703
                   5,            0.047136,            0.039653,            0.014801,             0.76306,             0.49254,             0.56414,             0.34843,             0.04122,            0.025336,            0.012735,            0.009604,            0.009604,            0.009604
                   6,            0.046521,            0.039407,            0.014218,             0.77024,             0.50536,             0.57806,             0.36043,            0.040548,            0.025011,            0.012272,            0.009505,            0.009505,            0.009505
                   7,            0.046023,            0.039225,            0.014053,             0.77839,              0.5082,              0.5823,             0.36302,            0.040162,            0.024881,            0.012244,            0.009406,            0.009406,            0.009406
                   8,             0.04563,            0.038719,            0.013703,             0.78686,             0.51854,              0.5959,             0.37316,            0.039913,            0.024698,            0.011718,            0.009307,            0.009307,            0.009307
                   9,            0.045236,            0.038528,            0.013457,             0.77828,             0.52084,             0.59541,             0.37574,            0.039477,            0.024461,            0.011753,            0.009208,            0.009208,            0.009208
                  10,            0.044952,            0.038542,            0.013124,             0.78027,             0.52853,             0.60384,             0.38142,            0.039299,            0.024326,             0.01147,            0.009109,            0.009109,            0.009109
                  11,            0.044728,            0.038129,               0.013,             0.78491,              0.5298,             0.60565,              0.3826,            0.039098,            0.024232,            0.011441,             0.00901,             0.00901,             0.00901
                  12,            0.044439,             0.03816,            0.012834,             0.80079,              0.5303,             0.60793,             0.38786,            0.038875,            0.024054,            0.011221,            0.008911,            0.008911,            0.008911
                  13,            0.044276,            0.037741,            0.012729,             0.79062,             0.53541,             0.60983,             0.38903,            0.038702,            0.023998,             0.01137,            0.008812,            0.008812,            0.008812
                  14,            0.044262,            0.037852,            0.012589,             0.80164,             0.54378,             0.61747,             0.39413,             0.03852,            0.023913,            0.010999,            0.008713,            0.008713,            0.008713
                  15,            0.043929,            0.037638,            0.012536,             0.79537,             0.54321,             0.62085,             0.39918,            0.038384,            0.023818,            0.010968,            0.008614,            0.008614,            0.008614
                  16,            0.043857,            0.037432,            0.012307,             0.80526,             0.54453,             0.62249,             0.39912,            0.038294,            0.023779,            0.010819,            0.008515,            0.008515,            0.008515
                  17,            0.043732,            0.037332,            0.012151,             0.79785,             0.54923,             0.62421,             0.40173,            0.038169,            0.023676,            0.010792,            0.008416,            0.008416,            0.008416
                  18,            0.043534,            0.037031,            0.012184,             0.80193,             0.55007,             0.62804,             0.40424,            0.038038,            0.023609,            0.010705,            0.008317,            0.008317,            0.008317
                  19,            0.043366,            0.036909,            0.012057,             0.81346,              0.5481,             0.62963,             0.40487,            0.037927,              0.0236,            0.010611,            0.008218,            0.008218,            0.008218
                  20,             0.04338,             0.03737,            0.012103,             0.81442,              0.5504,             0.63154,             0.40672,            0.037841,            0.023542,            0.010496,            0.008119,            0.008119,            0.008119
                  21,            0.043276,            0.037069,            0.011967,              0.8124,             0.55161,             0.63321,             0.40873,            0.037731,            0.023509,            0.010445,             0.00802,             0.00802,             0.00802
                  22,            0.043142,            0.036921,            0.011854,             0.81531,             0.55321,             0.63513,             0.41043,            0.037656,            0.023464,            0.010455,            0.007921,            0.007921,            0.007921
                  23,             0.04311,            0.037141,             0.01184,             0.81076,             0.55937,             0.63673,             0.41155,            0.037581,            0.023426,            0.010417,            0.007822,            0.007822,            0.007822
                  24,            0.042916,            0.036712,            0.011708,              0.8132,             0.55989,             0.63805,             0.41332,             0.03749,            0.023372,            0.010403,            0.007723,            0.007723,            0.007723
                  25,              0.0429,            0.036694,            0.011561,             0.81769,             0.55907,             0.63834,             0.41333,            0.037433,            0.023347,            0.010378,            0.007624,            0.007624,            0.007624
                  26,            0.042822,             0.03645,            0.011653,              0.8198,             0.55743,             0.63785,             0.41426,            0.037382,            0.023323,            0.010381,            0.007525,            0.007525,            0.007525
                  27,            0.042719,            0.036377,            0.011474,             0.82129,             0.55791,             0.63896,             0.41462,            0.037344,            0.023314,            0.010355,            0.007426,            0.007426,            0.007426
                  28,            0.042644,            0.036379,            0.011487,              0.8125,             0.56278,             0.63996,             0.41579,            0.037302,            0.023292,            0.010308,            0.007327,            0.007327,            0.007327
                  29,            0.042671,            0.036398,            0.011503,             0.80946,             0.56624,              0.6413,             0.41709,            0.037273,            0.023269,            0.010297,            0.007228,            0.007228,            0.007228
                  30,            0.042429,            0.036456,            0.011347,             0.80576,             0.56871,             0.64159,              0.4171,            0.037236,            0.023247,            0.010285,            0.007129,            0.007129,            0.007129
                  31,            0.042333,            0.035874,            0.011321,             0.80852,              0.5682,             0.64199,             0.41782,            0.037202,            0.023227,            0.010271,             0.00703,             0.00703,             0.00703
                  32,            0.042445,            0.036242,            0.011268,              0.8089,              0.5682,             0.64249,             0.41855,            0.037174,             0.02321,            0.010265,            0.006931,            0.006931,            0.006931
                  33,            0.042251,             0.03605,            0.011195,             0.80982,             0.56864,             0.64339,             0.41909,            0.037143,            0.023199,            0.010257,            0.006832,            0.006832,            0.006832
                  34,            0.042202,            0.035999,            0.011227,             0.80833,             0.56875,             0.64347,             0.41938,            0.037123,             0.02319,            0.010255,            0.006733,            0.006733,            0.006733
                  35,             0.04215,            0.035777,            0.011131,             0.80734,             0.56916,             0.64377,             0.41956,            0.037103,            0.023181,            0.010239,            0.006634,            0.006634,            0.006634
                  36,            0.042095,            0.035878,            0.010978,             0.80709,             0.57036,             0.64443,             0.42029,            0.037083,            0.023175,            0.010229,            0.006535,            0.006535,            0.006535
                  37,            0.042024,            0.035895,               0.011,             0.80903,             0.56994,             0.64472,             0.42057,            0.037063,            0.023168,             0.01022,            0.006436,            0.006436,            0.006436
                  38,             0.04205,            0.035888,            0.010978,             0.81273,             0.56965,             0.64507,             0.42095,            0.037046,            0.023161,            0.010217,            0.006337,            0.006337,            0.006337
                  39,            0.041889,            0.035876,            0.010972,             0.81587,             0.56981,             0.64535,             0.42101,            0.037033,            0.023152,            0.010207,            0.006238,            0.006238,            0.006238
                  40,            0.041825,            0.035909,            0.010859,             0.81608,             0.57037,             0.64609,             0.42125,            0.037021,            0.023142,            0.010199,            0.006139,            0.006139,            0.006139
                  41,             0.04172,            0.035643,            0.010774,             0.81836,             0.57031,             0.64629,             0.42157,             0.03701,            0.023135,            0.010194,             0.00604,             0.00604,             0.00604
                  42,            0.041715,            0.035604,            0.010739,              0.8184,             0.57025,             0.64647,             0.42181,            0.036998,            0.023129,            0.010191,            0.005941,            0.005941,            0.005941
                  43,            0.041612,            0.035758,            0.010692,             0.81581,             0.57197,             0.64657,             0.42212,            0.036983,             0.02312,            0.010194,            0.005842,            0.005842,            0.005842
                  44,            0.041615,            0.035744,            0.010698,             0.81637,             0.57165,             0.64686,             0.42251,             0.03697,            0.023115,            0.010193,            0.005743,            0.005743,            0.005743
                  45,            0.041468,            0.035423,            0.010558,             0.81659,             0.57218,             0.64691,             0.42268,            0.036955,            0.023109,            0.010194,            0.005644,            0.005644,            0.005644
                  46,            0.041425,            0.035645,             0.01055,             0.81776,             0.57198,             0.64709,             0.42269,            0.036941,            0.023101,            0.010194,            0.005545,            0.005545,            0.005545
                  47,            0.041371,             0.03524,            0.010556,             0.81776,             0.57202,             0.64702,             0.42298,            0.036928,            0.023089,            0.010187,            0.005446,            0.005446,            0.005446
                  48,            0.041259,            0.035294,             0.01056,             0.81857,             0.57129,             0.64725,             0.42317,            0.036917,            0.023082,            0.010182,            0.005347,            0.005347,            0.005347
                  49,            0.041209,            0.035087,            0.010444,             0.81715,             0.57222,             0.64774,              0.4236,            0.036905,            0.023075,            0.010175,            0.005248,            0.005248,            0.005248
                  50,            0.041092,            0.034915,            0.010381,             0.81612,             0.57259,             0.64789,             0.42367,             0.03689,            0.023067,            0.010168,            0.005149,            0.005149,            0.005149
                  51,            0.040937,             0.03509,            0.010312,             0.81503,             0.57325,             0.64798,             0.42393,            0.036879,            0.023059,            0.010162,             0.00505,             0.00505,             0.00505
                  52,            0.040923,            0.035024,            0.010325,             0.81427,             0.57397,             0.64836,             0.42414,            0.036867,            0.023052,            0.010157,            0.004951,            0.004951,            0.004951
                  53,            0.040965,            0.034909,            0.010289,              0.8132,             0.57451,             0.64852,             0.42441,            0.036852,            0.023045,            0.010157,            0.004852,            0.004852,            0.004852
                  54,            0.040844,            0.034767,            0.010235,             0.81244,             0.57509,             0.64892,             0.42466,            0.036835,            0.023037,            0.010158,            0.004753,            0.004753,            0.004753
                  55,            0.040907,             0.03503,            0.010155,             0.81106,             0.57563,             0.64916,             0.42502,            0.036823,            0.023031,            0.010153,            0.004654,            0.004654,            0.004654
                  56,            0.040823,            0.034961,            0.010217,             0.81345,             0.57492,             0.64931,             0.42512,            0.036811,            0.023025,            0.010146,            0.004555,            0.004555,            0.004555
                  57,             0.04056,            0.034636,            0.010045,              0.8124,             0.57596,             0.64959,             0.42535,            0.036798,            0.023018,            0.010144,            0.004456,            0.004456,            0.004456
                  58,            0.040743,            0.034577,            0.010055,             0.81224,             0.57614,             0.64971,             0.42565,            0.036783,            0.023011,            0.010141,            0.004357,            0.004357,            0.004357
                  59,            0.040445,            0.034348,            0.010016,             0.81364,             0.57701,             0.64996,             0.42601,            0.036767,            0.023006,            0.010131,            0.004258,            0.004258,            0.004258
                  60,             0.04045,            0.034752,           0.0099176,             0.81491,             0.57686,             0.65035,             0.42616,             0.03675,               0.023,             0.01012,            0.004159,            0.004159,            0.004159
                  61,            0.040409,            0.034432,           0.0099726,             0.81581,             0.57663,             0.65055,             0.42653,            0.036733,            0.022992,            0.010115,             0.00406,             0.00406,             0.00406
                  62,            0.040409,            0.034682,           0.0098515,             0.81705,             0.57558,             0.65056,             0.42664,            0.036717,            0.022984,            0.010109,            0.003961,            0.003961,            0.003961
                  63,            0.040166,            0.034424,           0.0097409,             0.81869,              0.5754,             0.65057,             0.42681,            0.036702,            0.022976,            0.010103,            0.003862,            0.003862,            0.003862
                  64,            0.040267,            0.034304,           0.0097793,             0.81781,              0.5762,             0.65125,             0.42705,            0.036687,            0.022968,            0.010094,            0.003763,            0.003763,            0.003763
                  65,            0.040155,            0.034109,           0.0097118,             0.81808,             0.57692,             0.65143,             0.42713,            0.036671,            0.022959,             0.01009,            0.003664,            0.003664,            0.003664
                  66,            0.040027,            0.034004,           0.0097143,             0.81768,             0.57704,             0.65151,             0.42727,            0.036658,            0.022955,            0.010086,            0.003565,            0.003565,            0.003565
                  67,            0.039982,            0.034217,           0.0096019,             0.81788,             0.57699,             0.65124,             0.42739,            0.036649,             0.02295,            0.010082,            0.003466,            0.003466,            0.003466
                  68,            0.039861,             0.03398,           0.0095546,             0.82225,             0.57592,             0.65153,             0.42735,             0.03664,            0.022944,            0.010081,            0.003367,            0.003367,            0.003367
                  69,            0.039815,            0.033956,           0.0095023,             0.82141,             0.57668,             0.65173,             0.42765,            0.036629,            0.022939,             0.01008,            0.003268,            0.003268,            0.003268
                  70,             0.03989,            0.033918,           0.0095754,             0.82657,             0.57469,             0.65175,             0.42791,            0.036617,            0.022934,            0.010079,            0.003169,            0.003169,            0.003169
                  71,            0.039658,            0.033711,           0.0094746,             0.82738,             0.57418,             0.65165,             0.42798,             0.03661,            0.022932,            0.010083,             0.00307,             0.00307,             0.00307
                  72,            0.039683,            0.033865,           0.0093637,             0.82824,             0.57367,             0.65168,             0.42814,              0.0366,             0.02293,            0.010086,            0.002971,            0.002971,            0.002971
                  73,            0.039585,            0.033952,           0.0093177,             0.82783,             0.57435,             0.65167,             0.42829,            0.036594,            0.022929,            0.010088,            0.002872,            0.002872,            0.002872
                  74,            0.039523,            0.033776,           0.0092904,             0.82594,             0.57579,             0.65201,             0.42863,            0.036585,            0.022926,            0.010088,            0.002773,            0.002773,            0.002773
                  75,            0.039429,            0.033735,            0.009232,             0.82557,             0.57659,             0.65202,             0.42858,            0.036577,            0.022922,            0.010087,            0.002674,            0.002674,            0.002674
                  76,            0.039309,            0.033157,            0.009227,             0.82752,             0.57598,             0.65215,             0.42861,            0.036569,            0.022918,            0.010088,            0.002575,            0.002575,            0.002575
                  77,            0.039301,            0.033631,           0.0091983,             0.82636,             0.57611,             0.65211,             0.42889,            0.036565,            0.022919,            0.010092,            0.002476,            0.002476,            0.002476
                  78,            0.039223,            0.033266,           0.0090575,             0.82693,             0.57669,             0.65232,             0.42916,             0.03656,            0.022918,            0.010095,            0.002377,            0.002377,            0.002377
                  79,            0.039029,            0.033485,           0.0089946,             0.82788,             0.57619,             0.65233,             0.42902,            0.036556,            0.022918,            0.010098,            0.002278,            0.002278,            0.002278
                  80,            0.039056,            0.033139,           0.0089984,             0.82737,             0.57608,              0.6526,             0.42927,             0.03655,            0.022917,            0.010105,            0.002179,            0.002179,            0.002179
                  81,            0.038931,            0.033327,           0.0089333,              0.8284,             0.57561,             0.65254,             0.42915,            0.036545,            0.022918,            0.010114,             0.00208,             0.00208,             0.00208
                  82,            0.038866,            0.033283,            0.008808,             0.82758,             0.57637,             0.65255,             0.42919,            0.036541,             0.02292,             0.01012,            0.001981,            0.001981,            0.001981
                  83,            0.038761,            0.032954,           0.0087869,             0.82557,             0.57676,             0.65246,             0.42923,            0.036538,            0.022921,            0.010129,            0.001882,            0.001882,            0.001882
                  84,            0.038696,            0.032883,           0.0087523,             0.82427,             0.57738,             0.65242,             0.42925,            0.036532,            0.022922,            0.010137,            0.001783,            0.001783,            0.001783
                  85,            0.038466,            0.032756,            0.008708,             0.82416,             0.57701,             0.65241,             0.42943,            0.036528,            0.022925,            0.010144,            0.001684,            0.001684,            0.001684
                  86,             0.03838,            0.032527,           0.0085778,             0.82651,             0.57649,             0.65248,             0.42953,            0.036526,            0.022929,            0.010149,            0.001585,            0.001585,            0.001585
                  87,            0.038286,            0.032717,            0.008561,             0.82605,             0.57732,             0.65261,             0.42968,            0.036523,            0.022932,            0.010156,            0.001486,            0.001486,            0.001486
                  88,            0.038225,            0.032519,           0.0085595,             0.82518,             0.57795,             0.65281,             0.42975,            0.036521,            0.022937,            0.010167,            0.001387,            0.001387,            0.001387
                  89,             0.03815,            0.032473,           0.0083819,             0.82207,             0.57946,             0.65283,             0.42971,             0.03652,            0.022943,            0.010179,            0.001288,            0.001288,            0.001288
                  90,            0.038105,              0.0326,            0.008332,             0.81835,             0.58016,             0.65281,             0.42975,             0.03652,             0.02295,            0.010192,            0.001189,            0.001189,            0.001189
                  91,            0.038096,            0.032244,           0.0083348,             0.81919,             0.57993,             0.65286,             0.42993,            0.036522,            0.022957,            0.010207,             0.00109,             0.00109,             0.00109
                  92,            0.037856,            0.032336,           0.0082607,             0.82116,             0.57893,             0.65292,             0.43002,            0.036522,            0.022964,             0.01022,            0.000991,            0.000991,            0.000991
                  93,            0.037693,            0.032172,           0.0081708,               0.822,             0.57928,             0.65301,             0.43031,            0.036523,            0.022971,            0.010236,            0.000892,            0.000892,            0.000892
                  94,            0.037634,            0.031841,            0.008133,             0.81925,             0.58007,             0.65299,             0.43004,            0.036524,             0.02298,            0.010253,            0.000793,            0.000793,            0.000793
                  95,            0.037568,            0.031768,           0.0080276,             0.82215,             0.57841,             0.65267,              0.4301,            0.036527,            0.022989,            0.010271,            0.000694,            0.000694,            0.000694
                  96,            0.037572,            0.031781,           0.0079911,             0.82004,             0.57983,             0.65264,             0.42991,             0.03653,            0.022998,             0.01029,            0.000595,            0.000595,            0.000595
                  97,            0.037452,            0.031734,           0.0079467,             0.82038,             0.57893,              0.6525,              0.4299,            0.036531,            0.023007,            0.010308,            0.000496,            0.000496,            0.000496
                  98,             0.03724,            0.031641,           0.0078718,             0.82219,             0.57844,             0.65249,             0.42988,            0.036533,            0.023017,            0.010325,            0.000397,            0.000397,            0.000397
                  99,            0.037139,            0.031606,           0.0078342,             0.82162,             0.57838,             0.65238,             0.42982,            0.036537,            0.023029,            0.010344,            0.000298,            0.000298,            0.000298
